"HolderAddress","Balance","PendingBalanceUpdate"
"0x79cd5a4c95b6a0a44eaa49a41df0226a5f9fd6f1","11,625.66312198583006158","No"
"0xf4d9263a90100fbe3e671a58bb40e7e35311a655","10,925.160937685752341623","No"
"0x6143eebcc7615a0ef6e63d7e334c49b63ce6a411","10,478.692330098992815266","No"
"0x63b57eddd61fadbb8d6fbdcc71ccae65d74d1ad6","10,340.328835332059127785","No"
"0xf13a10ba3a2e68ef1589c7cc3cd2472e1bfc711a","10,100","No"
"0xda25875926a111ff56fd9b941570b5424fbacc3f","10,048.950041823808210668","No"
"0xf3edda205799decb1651b22610350fb0c747f457","10,000.000000000000027246","No"
"0x4da15047411c6a16ac2206a98b04043c76abb104","10,000","No"
"0x17183605a753a0a2996f45a9dff0725c91891968","10,000","No"
"0x584fb773ba1c8e1da70b95984f3d9443a13b92b4","9,760.557390268069940158","No"
"0x3b340ee6bbec1c6ea0e8ca4e5de8e06fb7e35bab","9,590.35241394684706129","No"
"0xb6996b02f4883006f3855181899f15c9765eb719","8,929.298162899269991783","No"
"0x79aa6c16f8b3cce6eecbe91b657c2e3595f86da3","7,906.597224264292556804","No"
"0xc54d47ba928718c47107b00c9e92612789215bda","7,878.791302004058853374","No"
"0x1fb7ae01640318912d64b09853b1a6d8ff3d1809","7,616.499656709595520175","No"
"0x89ade1ee6c3793dc459f0474a861b79ae7c7ff7e","7,507.086645205809426644","No"
"0x53f8bf8889f225a9cf33b4bbb0cfd5a05c183a55","7,321.820439012843730266","No"
"0x124d05e1cf1316141463224e3b9a9592044ee325","7,289.446453356706119968","No"
"0x12afc6451f21feddeb1f732d6baa02684c258d9c","7,000","No"
"0x9c09926927201527812364cf97aa9bb962a638b5","7,000","No"
"0xc936a189c6b0c1048f4660a04b5173eeb8b5b22f","6,444.976889774994789202","No"
"0x6ca6cadc880d99855d1bac40a6e4019f69e6abfe","6,443.840699190930082985","No"
"0xbe87c03052059166057e146b9b430d08ad88eea0","6,109.009812127313999492","No"
"0x67e326ed4972650fbc9541b81a57ded004f3e4ee","6,062.202309400411675766","No"
"0x60fe22294b82136ce313246e822ad4858d7ac540","5,667.663758882770413767","No"
"0x57a2995b9edadce5c1282702b238e1616745a5e3","5,414.515703442498319048","No"
"0x0659f534ebe1eef11379ce39075716ad3a40fd55","5,153.872117833320845","No"
"0x6061205c7ada4fb1ef98bebf4adb04abf97ba051","5,000.000010921587748273","No"
"0xb2210fa4bb8813896e5035c9a9ab44a259a14abd","5,000","No"
"0x20e0e86d92cc1a6ab6aa3c1b7b28760477a8d29b","5,000","No"
"0xb468bb1b68307855ffbf38a93cb22d75ed4584e5","5,000","No"
"0x00e19dd0ca2cf4a29f768840a043e449ec281498","5,000","No"
"0xef0af9cbc7fdb67ddd261540d15bb11f53a45b1c","5,000","No"
"0xee957fdeee67a62a12e4b526473607a715728e60","5,000","No"
"0x023ec66889ea673c1adc3d252eaba7529a3d074b","5,000","No"
"0x372d250625cba17f3d6bb9b36afb17cdc00cf7cc","5,000","No"
"0x95687a0c2ad7c4bf84ed85fb4124e1cc801e8313","4,969.143776165171358186","No"
"0x50664ede715e131f584d3e7eaabd7818bb20a068","4,957.3065733524453","No"
"0x37bb8178121035e137cdf8cfe7471ea56bd0efbc","4,819.588385666821444857","No"
"0xce4e01b67c8061aba6995e5ab2f1be2d51b9ab69","4,595.629511886653295778","No"
"0xeb86bef431e75d32e02eed4209400f2c42c77ba7","4,592.09340311942936034","No"
"0x5db7439f4ea3b08a5c2dc1232719d35d4ecc3266","4,166.06","No"
"0x702dd0319d29cf0971954b0ebbe87c22c99efc2f","4,101.533081891932394366","No"
"0x7346848c1a5b643912d9593e2c9dd051c015fcb3","4,039.976204851870240739","No"
"0x4cd6054901e3c750c1a00db8226feecd5020f59c","4,028.450175540455770253","No"
"0x328809a567b87b6123462c3062e8438bbb75c1c5","3,920.23038491056499763","No"
"0x7bb930c98aa76bac7bc6f4fe6a522ee69138ed64","3,892.704589214084305981","No"
"0xc294fea53deae906fd7e8e67952ea241fcd06d79","3,736.623977281025177032","No"
"0x3b2534b8ea1f9a8bf9d9915b91bae673d161f2a5","3,618.359992841357223859","No"
"0x14e56cf9e6257475f9b6310adc98865fc24d6504","3,553.744800690861969927","No"
"0x1e022fe7ec25d21d2af2aa17f7275abd6b22a438","3,544.596619465956335176","No"
"0x1925d25e5a0350dffb5b98e6e1d4e3e7999a9ebe","3,480.306127581097860878","No"
"0x3e1fbb4f779e74a4b17f87293c784e038220faf9","3,376.7448060464855","No"
"0x36bf3d7416bd671e03a874ec217d07910342346a","3,300","No"
"0x512c676ea914bf351ce398f705473cfd30c6692f","3,142.135627213495669904","No"
"0x8f5dda939bd7075b483ac651b5069d8de32e53e4","3,016.918895092480452546","No"
"0x3fedeeea7bf7b1ff2e3f7514a17f72cf61e8f169","3,000","No"
"0xb0911ef4053298b3bfc510bea881e6c838be7589","3,000","No"
"0xbe5f619d14e8efe20ca7fbbd4f65d6be1e6fc7ba","2,981","No"
"0xa5762f9507e5f2ed2802dae0cdf1ea4f2db8bb66","2,976.671569231861650908","No"
"0x9b616ac1d31f17be9b23560d93699ca7732e2808","2,840.653513593849209603","No"
"0xda892c1700147079d0bdeafb7b566e77315f98a4","2,778.929051697354573818","No"
"0x085843dbde124ab8babd558fea60534962628338","2,772.290735709453471702","No"
"0x6ab7ab86c57048eb69c33e5aa27ddbddc66c4f80","2,691.113370029392374871","No"
"0x5e155a291f5657268c74840d5f98cb8494a9805d","2,624.319487141004775305","No"
"0x69110c4e9b054db9217549fdf2a800418fe8ae9c","2,584.2","No"
"0xb386c139442a81a482424f11214e70625a2c7109","2,500.395418557647647468","No"
"0x59bd99198e0b4f08dbb9ce49b48303d894253999","2,500","No"
"0xab2b832e7ae86cebf21c50300d92cd0a104d30d4","2,396.568722939967839642","No"
"0x6f839d2d3a5609b97ae31f4559da015b80d6c613","2,365.065219314049176651","No"
"0x1f561e47f2d511cd68953d1dd00275289e3a4ba4","2,298.513953189266604363","No"
"0x22f0aee19168c6b1a7083222dd87b2f9dc3736e8","2,163.629954922886870663","No"
"0xe70a0956d84b96c05a7739abf10cd4edccbf109d","2,122.302617543489052886","No"
"0xc17525609fa38aa7b626d6382166a4ff23240ebf","2,039.061671514551033846","No"
"0x9793b62fa9ecca75cc606abf1370e66adfd0a657","2,019.685673820907174247","No"
"0x5a99514530c6dbdb21e568296667732bc2c05185","2,000.145983610942066181","No"
"0x131b491c05eab5dcedde5cd0f847574b78ae7d3a","2,000","No"
"0x471a7853ba0b93b2b4103bfba334c1d1ec9dd6b7","1,980.626807798315383699","No"
"0x255fc518e1c48d6e44ed942db6504a0dbe17de26","1,963.347441828780160947","No"
"0x47a544126807fb7e26e7445d87312f1949970a03","1,891.791411611323701829","No"
"0x000000fee13a103a10d593b9ae06b3e05f2e7e1c","1,855.396709610290473352","No"
"0xab386d512836afc0d28d9b25396b2289cab71117","1,754.347120157453102136","No"
"0xaeed0f311428186b861fe9dd4b7fc11c267c7a5b","1,720.844594242196","No"
"0x9279b29218b27ecab8f49d5e35a5be8e9719def8","1,716.165228324865535262","No"
"0x926def13055f309a2f489dd2ae6a596d2a0a8335","1,684.462860634996832296","No"
"0x926a9377f513cc22634a0f57cb0974b9f626c49d","1,677.190203650886011229","No"
"0xbb7e284fd7b65a64581d1aa227e79c640899e4b5","1,670.522496637092263393","No"
"0x9694d993c7b2b089ac34547af079f0469e1ce53a","1,668.2569835028936608","No"
"0x4fb2e1e718ec713aa7346687fce8e4411b7f423e","1,644.327353524173024019","No"
"0xd1b38482c05144d38f84da3c8a0331b639bd56f1","1,644.042032276079875716","No"
"0x5a805112171fea540cb85f851757e395751fb7c1","1,596.38745504614070221","No"
"0xa2688826947336ebc58621428ef5003c483495f4","1,559.391253213146361721","No"
"0xd70b45ac304415608aa468f0ae32e49535c23114","1,519.035992663303817247","No"
"0x19ceb26100806921b91cb2343614fa4cbca7ddca","1,500","No"
"0xd993e7899b801ee5049b553ebd62acd803231ce2","1,500","No"
"0x6f837df38128085adc6df761d80ce80b5038591e","1,495.115142553534178215","No"
"0x4cab3ef7ed32a1e9bd5c49fdfd43a4d6142153a1","1,492.579684209576372119","No"
"0x30c00d56ed3f5972abb82c1b656487f3bd9b9bd8","1,490.782016188528341889","No"
"0x382ffce2287252f930e1c8dc9328dac5bf282ba1","1,485.680848013027763315","No"
"0x28634d261f9343824a41f642c9464d73c0b62b59","1,477.999998450863377349","No"
"0x4dc60f385d15b29746b1b7ec2631b478933e67e3","1,471.582955519518979921","No"
"0x9bb86ab2ebe3e6b9b580d557f7adcc4ff746ec8f","1,441.895552155973912288","No"
"0x25709c1a7d07bcac84035b4998bf3a4c52edb973","1,420.126140087920541293","No"
"0x7879cc2c7194e88d702d04bd08566d14849a12bf","1,399.487225027573095154","No"
"0x3de6d36a08c599b6e546d6b183e267e4d9fe8ac0","1,396.303676420866422688","No"
"0x2377d08b9a386d96871dced543161d074fa1a7ac","1,324.880151603134513204","No"
"0xd227e63e7d74ba0374e1d5b2479666b21ba7811c","1,311.654104024","No"
"0x807117a4f8682c40a175b56d0613f1690af96413","1,310.351087155998649431","No"
"0x277cb59c39a249913770a6ab5d94401b7c005381","1,305.594149202387522235","No"
"0x1e983734058ab8bf36b5fde347fb8fb9d45c0922","1,300","No"
"0xf68caa2289e206c58df3df802cbc8b2a03b6f6d6","1,281.019834212564900941","No"
